         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
            33  3,12425e+001  2,90000e+002  6,10000e+001  9,90611e-001  2,12321e+001  2,72318e-002  1,48824e+000  3,69947e+002  2,50000e+001  2,31732e+004  2,88217e+002  2,31750e+004  1,24375e-002  4,31466e-005  5,36637e-007  4,31500e-005
            34  3,12332e+001  2,98000e+002  6,60000e+001  1,00493e+000  2,15085e+001  2,84362e-002  1,48821e+000  3,69982e+002  2,50000e+001  2,31998e+004  2,87893e+002  2,32015e+004  1,24093e-002  4,30973e-005  5,34808e-007  4,31006e-005
            35  3,12332e+001  2,98001e+002  7,10000e+001  1,00995e+000  2,15886e+001  2,98609e-002  1,48787e+000  3,69858e+002  2,50000e+001  2,32222e+004  2,92747e+002  2,32241e+004  1,26063e-002  4,30553e-005  5,42770e-007  4,30587e-005
            36  3,12239e+001  2,99000e+002  7,60000e+001  9,99525e-001  2,13417e+001  3,14552e-002  1,48750e+000  3,69684e+002  2,50000e+001  2,32408e+004  3,01584e+002  2,32427e+004  1,29765e-002  4,30206e-005  5,58257e-007  4,30242e-005
            37  3,12347e+001  3,07000e+002  8,10000e+001  1,02612e+000  2,18824e+001  3,32079e-002  1,48779e+000  3,69498e+002  2,50000e+001  2,32613e+004  3,14234e+002  2,32635e+004  1,35088e-002  4,29819e-005  5,80636e-007  4,29858e-005
            38  3,12136e+001  3,10000e+002  8,60000e+001  1,02470e+000  2,18268e+001  3,48361e-002  1,48949e+000  3,69286e+002  2,50000e+001  2,32796e+004  3,23917e+002  2,32818e+004  1,39142e-002  4,29478e-005  5,97587e-007  4,29520e-005
            39  3,10234e+001  3,20000e+002  9,10000e+001  1,00575e+000  2,14019e+001  3,58100e-002  1,49370e+000  3,69015e+002  2,50000e+001  2,32935e+004  3,18002e+002  2,32957e+004  1,36520e-002  4,29224e-005  5,85977e-007  4,29265e-005
            40  3,09919e+001  3,23000e+002  9,60000e+001  1,11644e+000  2,37342e+001  3,67903e-002  1,49771e+000  3,68658e+002  2,50000e+001  2,33064e+004  3,12227e+002  2,33085e+004  1,33966e-002  4,28990e-005  5,74703e-007  4,29029e-005
            41  3,09263e+001  3,34000e+002  1,01000e+002  9,63982e-001  2,04682e+001  3,74708e-002  1,49829e+000  3,68282e+002  2,50000e+001  2,33247e+004  2,99386e+002  2,33266e+004  1,28356e-002  4,28659e-005  5,50209e-007  4,28694e-005
cfrp_frq1_100_5_1N, 25.04.2021 16:39:09
